roll_no,gender,race_ethnicity,total_score,grade,academic_strength,lunch,test_preparation_course
std-5484,female,group C,280.0,B,70.0,0.0,1.0
std-5485,female,group B,251.0,B,62.75,0.0,1.0
std-5488,female,group E,279.0,B,69.75,1.0,1.0
std-5489,female,group A,302.0,B,75.5,1.0,0.0
std-5490,female,group B,276.0,B,69.0,1.0,1.0
std-5492,female,group A,258.0,B,64.5,0.0,0.0
std-5493,female,group C,255.0,B,63.75,0.0,1.0
std-5494,female,group C,325.0,A,81.25,1.0,0.0
std-5495,female,group D,281.0,B,70.25,1.0,1.0
std-5496,female,group C,289.0,B,72.25,0.0,0.0
std-5497,female,group C,257.0,B,64.25,1.0,1.0
std-5498,female,group C,280.0,B,70.0,1.0,0.0
std-5499,female,group C,314.0,B,78.5,1.0,0.0
std-5500,female,group C,308.0,B,77.0,0.0,0.0
std-5501,female,group E,279.0,B,69.75,1.0,1.0
std-5502,female,group C,280.0,B,70.0,1.0,1.0
std-5503,female,group C,347.0,A,86.75,1.0,1.0
std-5504,female,group B,255.0,B,63.75,1.0,0.0
std-5505,female,group D,330.0,A,82.5,1.0,0.0
std-5506,female,group C,271.0,B,67.75,0.0,0.0
std-5507,female,group B,291.0,B,72.75,1.0,0.0
std-5508,female,group C,256.0,B,64.0,0.0,0.0
std-5509,female,group E,253.0,B,63.25,1.0,1.0
std-5511,female,group C,269.0,B,67.25,1.0,1.0
std-5512,female,group E,323.0,A,80.75,0.0,0.0
std-5513,female,group D,308.0,B,77.0,1.0,0.0
std-5514,female,group E,284.0,B,71.0,1.0,1.0
std-5515,female,group B,310.0,B,77.5,0.0,0.0
std-5516,female,group C,324.0,A,81.0,0.0,0.0
std-5517,female,group B,250.0,B,62.5,1.0,0.0
std-5518,female,group C,306.0,B,76.5,1.0,0.0
std-5519,female,group C,298.0,B,74.5,0.0,1.0
std-5520,female,group D,308.0,B,77.0,1.0,0.0
std-5521,female,group D,286.0,B,71.5,1.0,1.0
std-5522,female,group B,274.0,B,68.5,1.0,1.0
std-5523,female,group E,276.0,B,69.0,0.0,0.0
std-5524,female,group D,291.0,B,72.75,1.0,1.0
std-5525,female,group C,280.0,B,70.0,1.0,1.0
std-5526,female,group C,282.0,B,70.5,0.0,1.0
std-5527,female,group E,271.0,B,67.75,0.0,0.0
std-5530,female,group C,261.0,B,65.25,1.0,0.0
std-5531,female,group B,262.0,B,65.5,0.0,0.0
std-5532,female,group A,313.0,B,78.25,1.0,1.0
std-5533,female,group C,355.0,A,88.75,1.0,1.0
std-5534,female,group C,280.0,B,70.0,1.0,1.0
std-5536,female,group E,306.0,B,76.5,1.0,0.0
std-5537,female,group C,307.0,B,76.75,1.0,0.0
std-5538,female,group E,296.0,B,74.0,1.0,0.0
std-5539,female,group B,321.0,A,80.25,1.0,0.0
std-5540,female,group A,269.0,B,67.25,1.0,0.0
std-5541,female,group A,282.0,B,70.5,1.0,1.0
std-5542,female,group D,251.0,B,62.75,1.0,0.0
std-5543,female,group E,278.0,B,69.5,0.0,0.0
std-5544,female,group D,250.0,B,62.5,0.0,1.0
std-5545,female,group E,309.0,B,77.25,1.0,0.0
std-5546,female,group D,304.0,B,76.0,1.0,1.0
std-5547,female,group C,266.0,B,66.5,1.0,1.0
std-5549,female,group A,296.0,B,74.0,1.0,1.0
std-5551,female,group D,329.0,A,82.25,1.0,0.0
std-5552,female,group C,317.0,B,79.25,1.0,1.0
std-5553,female,group C,271.0,B,67.75,0.0,0.0
std-5555,female,group D,276.0,B,69.0,0.0,0.0
std-5556,female,group E,276.0,B,69.0,1.0,0.0
std-5557,female,group D,283.0,B,70.75,1.0,1.0
std-5558,female,group C,282.0,B,70.5,0.0,1.0
std-5559,female,group B,264.0,B,66.0,1.0,0.0
std-5560,female,group B,300.0,B,75.0,1.0,1.0
std-5562,female,group D,310.0,B,77.5,1.0,0.0
std-5564,female,group E,314.0,B,78.5,0.0,0.0
std-5566,female,group E,260.0,B,65.0,1.0,0.0
std-5567,female,group C,307.0,B,76.75,1.0,0.0
std-5568,female,group B,250.0,B,62.5,1.0,0.0
std-5569,female,group E,338.0,A,84.5,1.0,0.0
std-5571,female,group D,276.0,B,69.0,1.0,1.0
std-5572,female,group C,317.0,B,79.25,1.0,0.0
std-5573,female,group D,279.0,B,69.75,0.0,0.0
std-5574,female,group D,274.0,B,68.5,1.0,1.0
std-5575,female,group B,269.0,B,67.25,0.0,1.0
std-5576,female,group C,307.0,B,76.75,0.0,1.0
std-5577,female,group D,324.0,A,81.0,1.0,1.0
std-5578,female,group C,312.0,B,78.0,1.0,0.0
std-5579,female,group E,311.0,B,77.75,1.0,0.0
std-5580,female,group D,252.0,B,63.0,0.0,1.0
std-5581,female,group C,308.0,B,77.0,1.0,0.0
std-5582,female,group C,318.0,B,79.5,1.0,1.0
std-5583,female,group D,257.0,B,64.25,1.0,0.0
std-5584,female,group E,287.0,B,71.75,1.0,0.0
std-5585,female,group C,265.0,B,66.25,1.0,1.0
std-5586,female,group D,293.0,B,73.25,0.0,0.0
std-5588,female,group C,328.0,A,82.0,0.0,0.0
std-5589,female,group B,292.0,B,73.0,1.0,0.0
std-5590,female,group B,257.0,B,64.25,1.0,1.0
std-5591,female,group D,308.0,B,77.0,1.0,1.0
std-5592,female,group E,291.0,B,72.75,1.0,1.0
std-5594,female,group B,295.0,B,73.75,1.0,0.0
std-5595,female,group D,294.0,B,73.5,1.0,0.0
std-5597,female,group A,329.0,A,82.25,1.0,1.0
std-5600,female,group C,297.0,B,74.25,1.0,0.0
std-5601,female,group D,309.0,B,77.25,1.0,0.0
std-5602,female,group A,295.0,B,73.75,1.0,1.0
std-5603,female,group A,274.0,B,68.5,1.0,0.0
std-5604,female,group B,309.0,B,77.25,1.0,1.0
std-5605,female,group D,276.0,B,69.0,0.0,0.0
std-5606,female,group E,275.0,B,68.75,1.0,1.0
std-5607,female,group B,283.0,B,70.75,1.0,1.0
std-5608,female,group C,279.0,B,69.75,1.0,0.0
std-5609,female,group B,323.0,A,80.75,1.0,0.0
std-5610,female,group C,280.0,B,70.0,1.0,1.0
std-5612,female,group A,338.0,A,84.5,0.0,1.0
std-5613,female,group C,332.0,A,83.0,0.0,1.0
std-5614,female,group D,263.0,B,65.75,0.0,0.0
std-5615,female,group E,273.0,B,68.25,1.0,0.0
std-5616,female,group C,366.0,A,91.5,1.0,0.0
std-5617,female,group B,305.0,B,76.25,1.0,0.0
std-5618,female,group D,285.0,B,71.25,0.0,1.0
std-5620,female,group C,298.0,B,74.5,1.0,0.0
std-5621,female,group B,258.0,B,64.5,1.0,0.0
std-5622,female,group E,299.0,B,74.75,1.0,1.0
std-5623,female,group D,304.0,B,76.0,1.0,1.0
std-5624,female,group E,274.0,B,68.5,1.0,0.0
std-5627,female,group B,330.0,A,82.5,1.0,1.0
std-5628,female,group C,250.0,B,62.5,1.0,1.0
std-5629,female,group B,336.0,A,84.0,1.0,0.0
std-5630,female,group B,294.0,B,73.5,1.0,0.0
std-5632,female,group A,298.0,B,74.5,1.0,0.0
std-5633,female,group C,281.0,B,70.25,1.0,1.0
std-5634,female,group D,252.0,B,63.0,1.0,1.0
std-5636,female,group C,339.0,A,84.75,1.0,1.0
std-5637,female,group B,335.0,A,83.75,1.0,1.0
std-5638,female,group D,262.0,B,65.5,1.0,1.0
std-5640,female,group D,250.0,B,62.5,0.0,0.0
std-5641,female,group B,262.0,B,65.5,1.0,1.0
std-5642,female,group C,295.0,B,73.75,1.0,1.0
std-5643,female,group B,307.0,B,76.75,0.0,0.0
std-5644,female,group B,292.0,B,73.0,0.0,0.0
std-5646,female,group D,314.0,B,78.5,1.0,0.0
std-5647,female,group A,303.0,B,75.75,1.0,1.0
std-5648,female,group C,294.0,B,73.5,0.0,0.0
std-5649,female,group C,315.0,B,78.75,0.0,0.0
std-5652,female,group B,292.0,B,73.0,0.0,0.0
std-5653,female,group E,292.0,B,73.0,1.0,0.0
std-5654,female,group D,290.0,B,72.5,1.0,0.0
std-5655,female,group E,250.0,B,62.5,0.0,0.0
std-5656,female,group D,263.0,B,65.75,1.0,0.0
std-5657,female,group C,291.0,B,72.75,1.0,0.0
std-5658,female,group D,265.0,B,66.25,1.0,0.0
std-5659,female,group D,256.0,B,64.0,0.0,0.0
std-5661,female,group D,285.0,B,71.25,1.0,0.0
std-5662,female,group C,315.0,B,78.75,1.0,0.0
std-5663,female,group C,295.0,B,73.75,0.0,1.0
std-5664,female,group B,289.0,B,72.25,1.0,0.0
std-5668,female,group B,278.0,B,69.5,1.0,1.0
std-5672,female,group C,281.0,B,70.25,1.0,0.0
std-5673,female,group E,284.0,B,71.0,1.0,1.0
std-5674,female,group E,282.0,B,70.5,0.0,0.0
std-5675,female,group D,268.0,B,67.0,1.0,0.0
std-5677,female,group C,276.0,B,69.0,1.0,1.0
std-5678,female,group E,255.0,B,63.75,1.0,0.0
std-5679,female,group D,288.0,B,72.0,1.0,0.0
std-5680,female,group C,322.0,A,80.5,1.0,0.0
std-5682,female,group E,311.0,B,77.75,1.0,0.0
std-5683,female,group C,278.0,B,69.5,0.0,1.0
std-5685,female,group C,260.0,B,65.0,0.0,0.0
std-5686,female,group A,264.0,B,66.0,1.0,0.0
std-5687,female,group D,305.0,B,76.25,1.0,1.0
std-5688,female,group E,294.0,B,73.5,0.0,0.0
std-5689,female,group C,277.0,B,69.25,1.0,0.0
std-5690,female,group A,292.0,B,73.0,1.0,0.0
std-5691,female,group C,259.0,B,64.75,1.0,1.0
std-5692,female,group B,310.0,B,77.5,1.0,0.0
std-5693,female,group C,321.0,A,80.25,0.0,1.0
std-5694,female,group C,324.0,A,81.0,0.0,1.0
std-5695,female,group D,326.0,A,81.5,1.0,1.0
std-5696,female,group C,307.0,B,76.75,0.0,1.0
std-5698,female,group C,288.0,B,72.0,0.0,0.0
std-5699,female,group B,297.0,B,74.25,1.0,0.0
std-5701,female,group D,286.0,B,71.5,1.0,0.0
std-5702,female,group C,309.0,B,77.25,0.0,1.0
std-5703,female,group C,271.0,B,67.75,1.0,1.0
std-5704,female,group C,272.0,B,68.0,1.0,1.0
std-5706,female,group E,290.0,B,72.5,1.0,1.0
std-5707,female,group A,303.0,B,75.75,1.0,0.0
std-5708,female,group E,305.0,B,76.25,1.0,0.0
std-5709,female,group E,322.0,A,80.5,1.0,0.0
std-5710,female,group E,268.0,B,67.0,0.0,0.0
std-5711,female,group C,318.0,B,79.5,1.0,0.0
std-5712,female,group E,275.0,B,68.75,0.0,0.0
std-5713,female,group C,273.0,B,68.25,1.0,1.0
std-5714,female,group E,272.0,B,68.0,1.0,1.0
std-5715,female,group B,266.0,B,66.5,1.0,1.0
std-5717,female,group B,257.0,B,64.25,1.0,0.0
std-5718,female,group A,268.0,B,67.0,1.0,0.0
std-5720,female,group D,290.0,B,72.5,0.0,1.0
std-5721,female,group C,275.0,B,68.75,1.0,0.0
std-5722,female,group D,279.0,B,69.75,1.0,1.0
std-5723,female,group B,282.0,B,70.5,0.0,1.0
std-5724,female,group C,278.0,B,69.5,1.0,0.0
std-5727,female,group C,263.0,B,65.75,1.0,1.0
std-5728,female,group E,309.0,B,77.25,0.0,0.0
std-5729,female,group A,281.0,B,70.25,0.0,1.0
std-5730,female,group A,334.0,A,83.5,1.0,0.0
std-5731,female,group A,275.0,B,68.75,0.0,1.0
std-5732,female,group D,323.0,A,80.75,1.0,0.0
std-5733,female,group C,251.0,B,62.75,1.0,0.0
std-5736,female,group A,326.0,A,81.5,1.0,1.0
std-5737,female,group C,305.0,B,76.25,1.0,0.0
std-5738,female,group C,251.0,B,62.75,1.0,0.0
std-5742,female,group D,265.0,B,66.25,1.0,0.0
std-5743,female,group C,289.0,B,72.25,1.0,0.0
std-5745,female,group C,273.0,B,68.25,1.0,0.0
std-5746,female,group E,281.0,B,70.25,1.0,1.0
std-5747,female,group C,319.0,B,79.75,1.0,1.0
std-5750,female,group C,273.0,B,68.25,1.0,1.0
std-5751,female,group B,279.0,B,69.75,1.0,0.0
std-5752,female,group E,283.0,B,70.75,1.0,1.0
std-5754,female,group E,284.0,B,71.0,1.0,1.0
std-5755,female,group E,355.0,A,88.75,1.0,0.0
std-5757,female,group C,294.0,B,73.5,1.0,1.0
std-5758,female,group B,310.0,B,77.5,1.0,0.0
std-5759,female,group B,289.0,B,72.25,0.0,0.0
std-5760,female,group D,329.0,A,82.25,0.0,0.0
std-5761,,group E,290.0,B,72.5,0.0,0.0
std-5762,female,group E,290.0,B,72.5,1.0,1.0
std-5763,female,group C,251.0,B,62.75,1.0,1.0
std-5765,female,group B,290.0,B,72.5,1.0,
std-5766,female,group D,267.0,B,,0.0,0.0
std-5769,female,group C,292.0,B,73.0,1.0,1.0
std-5770,female,group B,,B,,0.0,0.0
std-5771,female,group A,250.0,B,62.5,0.0,0.0
std-5772,female,group B,315.0,B,78.75,1.0,0.0
std-5773,female,group E,281.0,B,70.25,1.0,1.0
std-5774,female,group D,264.0,B,66.0,0.0,1.0
std-5775,female,group E,283.0,B,70.75,0.0,1.0
std-5776,female,group C,279.0,B,69.75,1.0,0.0
std-5777,female,group E,334.0,A,83.5,1.0,0.0
std-5779,female,group D,268.0,B,67.0,0.0,1.0
std-5780,female,group D,267.0,B,66.75,1.0,0.0
std-5781,female,group D,293.0,B,73.25,1.0,1.0
std-5782,female,group E,326.0,A,81.5,0.0,1.0
std-5783,female,group B,267.0,B,66.75,1.0,0.0
std-5785,female,group C,312.0,B,78.0,0.0,0.0
std-5786,female,group E,292.0,B,73.0,0.0,0.0
std-5787,female,group D,292.0,B,73.0,1.0,0.0
std-5788,female,group D,318.0,B,79.5,0.0,0.0
std-5789,female,group B,273.0,B,68.25,0.0,0.0
std-5790,female,group E,261.0,B,65.25,0.0,0.0
std-5791,female,group C,263.0,B,65.75,1.0,1.0
std-5792,female,group B,301.0,B,75.25,1.0,1.0
std-5794,female,group E,327.0,A,81.75,0.0,0.0
std-5795,female,group A,257.0,B,64.25,0.0,0.0
std-5797,female,group A,306.0,B,76.5,0.0,0.0
std-5800,female,group B,268.0,B,67.0,1.0,1.0
std-5801,female,group E,298.0,B,74.5,0.0,1.0
std-5802,female,group A,325.0,A,81.25,1.0,1.0
std-5803,female,group D,323.0,A,80.75,1.0,0.0
std-5807,female,group B,273.0,B,68.25,1.0,1.0
std-5809,female,group D,276.0,B,69.0,1.0,1.0
std-5810,female,group C,296.0,B,74.0,1.0,0.0
std-5811,female,group E,250.0,B,62.5,1.0,1.0
std-5815,female,group C,290.0,B,72.5,1.0,0.0
std-5819,female,group C,256.0,B,64.0,1.0,1.0
std-5820,female,group E,288.0,B,72.0,1.0,0.0
std-5822,female,group D,279.0,B,69.75,1.0,0.0
std-5824,female,group D,315.0,B,78.75,1.0,1.0
std-5825,female,group C,294.0,B,73.5,1.0,0.0
std-5826,female,group D,268.0,B,67.0,1.0,0.0
std-5827,female,group D,270.0,B,67.5,1.0,0.0
std-5828,female,group D,311.0,B,77.75,0.0,1.0
std-5829,female,group C,305.0,B,76.25,0.0,1.0
std-5830,female,group C,269.0,B,67.25,1.0,1.0
std-5831,female,group B,283.0,B,70.75,1.0,0.0
std-5835,female,group B,317.0,B,79.25,1.0,0.0
std-5836,female,group B,327.0,A,81.75,1.0,1.0
std-5837,female,group D,265.0,B,66.25,1.0,0.0
std-5838,female,group B,296.0,B,74.0,0.0,1.0
std-5839,female,group B,308.0,B,77.0,1.0,0.0
std-5842,female,group D,313.0,B,78.25,1.0,0.0
std-5844,female,group B,259.0,B,64.75,0.0,1.0
std-5847,female,group C,289.0,B,72.25,1.0,0.0
std-5848,female,group C,319.0,B,79.75,1.0,0.0
std-5849,female,group D,297.0,B,74.25,0.0,0.0
std-5850,female,group C,285.0,B,71.25,0.0,0.0
std-5852,female,group C,294.0,B,73.5,1.0,0.0
std-5853,female,group C,293.0,B,73.25,1.0,0.0
std-5854,female,group C,319.0,B,79.75,1.0,0.0
std-5856,female,group C,257.0,B,64.25,0.0,1.0
std-5857,female,group D,260.0,B,65.0,0.0,0.0
std-5859,female,group C,295.0,B,73.75,0.0,1.0
std-5860,female,group D,255.0,B,63.75,1.0,1.0
std-5861,female,group C,294.0,B,73.5,0.0,1.0
std-5862,female,group E,294.0,B,73.5,1.0,1.0
std-5863,female,group B,290.0,B,72.5,1.0,0.0
std-5864,female,group E,294.0,B,73.5,0.0,0.0
std-5865,female,group D,291.0,B,72.75,0.0,0.0
std-5868,female,group C,294.0,B,73.5,1.0,0.0
std-5869,female,group B,304.0,B,76.0,1.0,1.0
std-5871,female,group E,256.0,B,64.0,1.0,0.0
std-5872,female,group C,273.0,B,68.25,0.0,1.0
std-5873,female,group C,268.0,B,67.0,1.0,1.0
std-5874,female,group B,289.0,B,72.25,0.0,0.0
std-5875,female,group C,300.0,B,75.0,1.0,1.0
std-5876,female,group C,296.0,B,74.0,1.0,0.0
std-5878,female,group E,276.0,B,69.0,0.0,0.0
std-5879,female,group C,326.0,A,81.5,0.0,1.0
std-5880,female,group A,306.0,B,76.5,1.0,0.0
std-5881,female,group C,337.0,A,84.25,1.0,1.0
std-5882,female,group A,262.0,B,65.5,1.0,1.0
std-5883,female,group D,300.0,B,75.0,0.0,1.0
std-5884,female,group A,313.0,B,78.25,0.0,1.0
std-5885,female,group D,306.0,B,76.5,0.0,0.0
std-5886,female,group C,309.0,B,77.25,0.0,0.0
std-5887,female,group C,314.0,B,78.5,0.0,0.0
std-5888,female,group C,289.0,B,72.25,1.0,0.0
std-5889,female,group B,281.0,B,70.25,0.0,0.0
std-5890,female,group B,274.0,B,68.5,1.0,0.0
std-5891,female,group C,260.0,B,65.0,1.0,0.0
std-5892,female,group D,289.0,B,72.25,1.0,1.0
std-5894,female,group C,319.0,B,79.75,1.0,1.0
std-5896,female,group E,343.0,A,85.75,1.0,1.0
std-5897,female,group C,273.0,B,68.25,1.0,1.0
std-5898,female,group D,276.0,B,69.0,0.0,1.0
std-5900,female,group A,342.0,A,85.5,0.0,0.0
std-5901,female,group C,301.0,B,75.25,1.0,0.0
std-5902,female,group C,304.0,B,76.0,1.0,0.0
std-5903,female,group C,288.0,B,72.0,1.0,1.0
std-5904,female,group D,286.0,B,71.5,1.0,1.0
std-5905,female,group E,310.0,B,77.5,1.0,0.0
std-5906,female,group B,291.0,B,72.75,0.0,0.0
std-5907,female,group D,283.0,B,70.75,1.0,1.0
std-5908,female,group E,308.0,B,77.0,1.0,1.0
std-5909,female,group A,282.0,B,70.5,0.0,0.0
std-5910,female,group B,315.0,B,78.75,1.0,1.0
std-5911,female,group C,293.0,B,73.25,0.0,1.0
std-5912,female,group A,265.0,B,66.25,0.0,1.0
std-5913,female,group C,265.0,B,66.25,1.0,1.0
std-5914,female,group D,281.0,B,70.25,0.0,0.0
std-5915,female,group E,261.0,B,65.25,1.0,1.0
std-5916,female,group C,356.0,A,89.0,1.0,0.0
std-5917,female,group E,316.0,B,79.0,0.0,0.0
std-5918,female,group B,295.0,B,73.75,0.0,1.0
std-5919,female,group B,252.0,B,63.0,1.0,0.0
std-5920,female,group A,280.0,B,70.0,0.0,0.0
std-5922,female,group D,303.0,B,75.75,1.0,0.0
std-5923,female,group E,298.0,B,74.5,1.0,0.0
std-5924,female,group D,265.0,B,66.25,1.0,0.0
std-5925,female,group E,250.0,B,62.5,1.0,0.0
std-5926,female,group A,269.0,B,67.25,1.0,0.0
std-5929,female,group E,288.0,B,72.0,1.0,0.0
std-5930,female,group E,295.0,B,73.75,1.0,1.0
std-5931,female,group D,280.0,B,70.0,1.0,0.0
std-5932,female,group E,339.0,A,84.75,1.0,0.0
std-5933,female,group D,266.0,B,66.5,0.0,0.0
std-5934,female,group E,258.0,B,64.5,1.0,1.0
std-5935,female,group C,255.0,B,63.75,0.0,0.0
std-5939,female,group D,301.0,B,75.25,0.0,0.0
std-5941,female,group C,254.0,B,63.5,1.0,1.0
std-5942,female,group C,312.0,B,78.0,1.0,1.0
std-5943,female,group E,269.0,B,67.25,0.0,1.0
std-5945,female,group B,306.0,B,76.5,0.0,0.0
std-5946,female,group D,258.0,B,64.5,0.0,1.0
std-5947,female,group D,324.0,A,81.0,0.0,1.0
std-5948,female,group D,254.0,B,63.5,0.0,0.0
std-5950,female,group D,257.0,B,64.25,1.0,1.0
std-5951,female,group B,293.0,B,73.25,1.0,0.0
std-5952,female,group E,316.0,B,79.0,1.0,0.0
std-5953,female,group D,305.0,B,76.25,1.0,0.0
std-5954,female,group C,252.0,B,63.0,1.0,1.0
std-5956,female,group C,308.0,B,77.0,1.0,0.0
std-5959,female,group B,270.0,B,67.5,1.0,0.0
std-5960,female,group B,296.0,B,74.0,1.0,0.0
std-5961,female,group D,302.0,B,75.5,1.0,0.0
std-5963,female,group E,257.0,B,64.25,0.0,0.0
std-5964,female,group B,297.0,B,74.25,1.0,0.0
std-5967,female,group B,284.0,B,71.0,0.0,1.0
std-5969,female,group C,267.0,B,66.75,0.0,0.0
std-5970,female,group E,322.0,A,80.5,1.0,1.0
std-5972,female,group A,278.0,B,69.5,1.0,0.0
std-5975,female,group A,285.0,B,71.25,1.0,0.0
std-5976,female,group E,288.0,B,72.0,1.0,0.0
std-5977,female,group A,267.0,B,66.75,1.0,1.0
std-5978,female,group E,291.0,B,72.75,1.0,1.0
std-5979,female,group C,263.0,B,65.75,1.0,0.0
std-5980,female,group E,258.0,B,64.5,1.0,0.0
std-5981,female,group B,290.0,B,72.5,0.0,0.0
std-5982,female,group D,320.0,A,80.0,0.0,1.0
std-5983,female,group A,339.0,A,84.75,1.0,0.0
std-5984,female,group B,316.0,B,79.0,1.0,0.0
std-5985,female,group A,267.0,B,66.75,0.0,1.0
std-5986,female,group C,280.0,B,70.0,1.0,0.0
std-5987,female,group C,324.0,A,81.0,1.0,1.0
std-5988,female,group D,264.0,B,66.0,1.0,0.0
std-5990,female,group E,308.0,B,77.0,0.0,0.0
std-5991,female,group D,310.0,B,77.5,1.0,0.0
std-5992,female,group E,276.0,B,69.0,1.0,0.0
std-5993,female,group B,354.0,A,88.5,0.0,0.0
std-5994,female,group C,250.0,B,62.5,1.0,1.0
std-5995,female,group C,310.0,B,77.5,1.0,0.0
std-5996,female,group C,322.0,A,80.5,1.0,0.0
std-5998,female,group E,270.0,B,67.5,1.0,0.0
std-5999,female,group D,254.0,B,63.5,1.0,0.0
std-6000,female,group C,268.0,B,67.0,0.0,0.0
std-6001,female,group C,271.0,B,67.75,1.0,0.0
std-6002,female,group C,256.0,B,64.0,0.0,0.0
std-6003,female,group B,299.0,B,74.75,1.0,1.0
std-6004,female,group B,308.0,B,77.0,1.0,1.0
std-6005,female,group C,329.0,A,82.25,1.0,0.0
std-6006,female,group A,281.0,B,70.25,1.0,0.0
std-6007,female,group C,291.0,B,72.75,1.0,0.0
std-6008,female,group B,290.0,B,72.5,0.0,1.0
std-6009,female,group D,269.0,B,67.25,0.0,0.0
std-6010,female,group E,330.0,A,82.5,1.0,1.0
std-6011,female,group D,292.0,B,73.0,1.0,0.0
std-6012,female,group B,253.0,B,63.25,1.0,0.0
std-6013,female,group C,282.0,B,70.5,0.0,1.0
std-6014,female,group C,283.0,B,70.75,0.0,0.0
std-6015,female,group A,340.0,A,85.0,0.0,0.0
std-6016,female,group D,317.0,B,79.25,1.0,0.0
std-6017,female,group C,274.0,B,68.5,1.0,0.0
std-6018,female,group D,309.0,B,77.25,1.0,0.0
std-6019,female,group B,304.0,B,76.0,1.0,0.0
std-6020,female,group C,282.0,B,70.5,1.0,0.0
std-6021,female,group B,254.0,B,63.5,1.0,0.0
std-6024,female,group C,304.0,B,76.0,0.0,0.0
std-6025,female,group C,252.0,B,63.0,1.0,1.0
std-6026,female,group D,304.0,B,76.0,0.0,0.0
std-6029,female,group C,294.0,B,73.5,1.0,1.0
std-6030,female,group D,260.0,B,65.0,1.0,0.0
std-6031,female,group A,263.0,B,65.75,0.0,0.0
std-6032,female,group B,285.0,B,71.25,1.0,0.0
std-6038,female,group D,321.0,A,80.25,1.0,1.0
std-6040,female,group B,286.0,B,71.5,1.0,1.0
std-6042,female,group D,296.0,B,74.0,1.0,1.0
std-6043,female,group E,275.0,B,68.75,1.0,1.0
std-6044,female,group A,358.0,A,89.5,0.0,0.0
std-6045,female,group D,313.0,B,78.25,1.0,0.0
std-6047,female,group C,308.0,B,77.0,1.0,0.0
std-6048,female,group C,336.0,A,84.0,1.0,0.0
std-6049,female,group C,261.0,B,65.25,1.0,0.0
std-6050,female,group E,258.0,B,64.5,0.0,1.0
std-6051,female,group C,256.0,B,64.0,1.0,0.0
std-6052,female,group D,300.0,B,75.0,0.0,0.0
std-6053,female,group B,270.0,B,67.5,0.0,1.0
std-6054,female,group C,256.0,B,64.0,1.0,1.0
std-6055,female,group C,315.0,B,78.75,0.0,1.0
std-6057,female,group C,303.0,B,75.75,1.0,0.0
std-6058,female,group E,314.0,B,78.5,0.0,1.0
std-6059,female,group E,278.0,B,69.5,0.0,1.0
std-6060,female,group D,291.0,B,72.75,1.0,1.0
std-6061,female,group E,280.0,B,70.0,0.0,0.0
std-6062,female,group B,270.0,B,67.5,1.0,1.0
std-6063,female,group D,324.0,A,81.0,1.0,1.0
std-6064,female,group A,296.0,B,74.0,0.0,1.0
std-6065,female,group C,354.0,A,88.5,0.0,1.0
std-6068,female,group E,283.0,B,70.75,1.0,0.0
std-6069,female,group C,270.0,B,67.5,1.0,1.0
std-6070,female,group E,309.0,B,77.25,1.0,0.0
std-6071,female,group E,291.0,B,72.75,0.0,0.0
std-6072,female,group B,263.0,B,65.75,1.0,0.0
std-6073,female,group A,334.0,A,83.5,1.0,1.0
std-6074,female,group B,294.0,B,73.5,1.0,1.0
std-6075,female,group E,280.0,B,70.0,1.0,0.0
std-6076,female,group D,280.0,B,70.0,0.0,1.0
std-6077,female,group B,309.0,B,77.25,0.0,0.0
std-6078,female,group C,316.0,B,79.0,0.0,0.0
std-6079,female,group C,292.0,B,73.0,0.0,1.0
std-6080,female,group B,275.0,B,68.75,1.0,1.0
std-6081,female,group D,288.0,B,72.0,1.0,0.0
std-6082,female,group D,280.0,B,70.0,1.0,1.0
std-6084,female,group C,317.0,B,79.25,1.0,1.0
std-6085,female,group E,284.0,B,71.0,0.0,0.0
std-6086,female,group E,250.0,B,62.5,1.0,0.0
std-6087,female,group D,299.0,B,74.75,1.0,1.0
std-6088,female,group D,256.0,B,64.0,1.0,1.0
std-6089,female,group E,290.0,B,72.5,1.0,0.0
std-6090,female,group C,272.0,B,68.0,1.0,1.0
std-6091,female,group C,320.0,A,80.0,1.0,0.0
std-6094,female,group D,316.0,B,79.0,0.0,1.0
std-6098,female,group C,296.0,B,74.0,0.0,0.0
std-6099,female,group D,328.0,A,82.0,0.0,0.0
std-6100,female,group D,262.0,B,65.5,0.0,1.0
std-6101,female,group D,277.0,B,69.25,0.0,0.0
std-6103,female,group B,365.0,A,91.25,1.0,1.0
std-6104,female,group A,303.0,B,75.75,1.0,0.0
std-6105,female,group D,255.0,B,63.75,1.0,0.0
std-6107,female,group A,252.0,B,63.0,1.0,1.0
std-6108,female,group B,259.0,B,64.75,0.0,0.0
std-6109,female,group E,310.0,B,77.5,1.0,0.0
std-6110,female,group E,286.0,B,71.5,1.0,1.0
std-6111,female,group A,266.0,B,66.5,1.0,0.0
std-6112,female,group D,262.0,B,65.5,1.0,0.0
std-6113,female,group B,279.0,B,69.75,1.0,1.0
std-6114,female,group B,251.0,B,62.75,0.0,0.0
std-6116,female,group A,289.0,B,72.25,1.0,1.0
std-6117,female,group B,352.0,A,88.0,0.0,1.0
std-6118,female,group C,297.0,B,74.25,1.0,0.0
std-6119,female,group D,300.0,B,75.0,0.0,0.0
std-6120,female,group D,252.0,B,63.0,1.0,0.0
std-6121,female,group D,291.0,B,72.75,0.0,1.0
std-6123,female,group B,284.0,B,71.0,1.0,1.0
