roll_no,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,science_score,total_score,grade,academic_strength,is_at_risk,performance_balance,socioeconomic_proxy,parental_education_level,gender_binary,high_achiever,science_strong,is_outlier
std-4710,male,group A,some high school,1.0,1.0,37.0,76.0,59.0,59.0,231.0,C,57.75,0,15.986973864159951,1.0,1.0,0,0,1,False
std-4711,male,group A,associate's degree,1.0,0.0,30.0,93.0,11.0,46.0,180.0,D,45.0,1,35.05234181430203,0.5,4.0,0,0,1,True
std-4712,male,group D,some high school,1.0,0.0,80.0,96.0,49.0,100.0,325.0,A,81.25,0,23.17146233336745,0.5,1.0,0,1,1,False
std-4713,male,group C,associate's degree,1.0,0.0,31.0,48.0,61.0,93.0,233.0,C,58.25,0,26.221810260417442,0.5,4.0,0,0,1,False
std-4714,male,group C,high school,0.0,0.0,70.0,90.0,55.0,83.0,298.0,B,74.5,0,15.416441439796236,0.0,2.0,0,1,1,False
std-4715,male,group E,some college,1.0,0.0,46.0,91.0,61.0,33.0,231.0,C,57.75,0,24.944939366532843,0.5,3.0,0,0,0,False
std-4716,male,group B,associate's degree,1.0,0.0,86.0,100.0,75.0,56.0,317.0,B,79.25,0,18.57193222760267,0.5,4.0,0,1,0,False
std-4717,male,group C,some college,0.0,1.0,49.0,49.0,79.0,49.0,226.0,C,56.5,0,15.0,0.5,3.0,0,0,0,False
std-4718,male,group D,high school,1.0,1.0,61.0,74.0,57.0,41.0,233.0,C,58.25,0,13.59840676942217,1.0,2.0,0,0,0,False
std-4719,male,group D,some high school,0.0,0.0,100.0,100.0,75.0,66.0,341.0,A,85.25,0,17.423642940938997,0.0,1.0,0,1,0,False
std-4720,male,group C,associate's degree,0.0,0.0,61.0,95.0,58.0,100.0,314.0,B,78.5,0,22.06807649071391,0.0,4.0,0,1,1,False
std-4721,male,group B,some college,1.0,1.0,13.0,46.0,89.0,75.0,223.0,C,55.75,0,33.658827470169946,1.0,3.0,0,0,1,False
std-4722,male,group C,some high school,1.0,0.0,51.0,84.0,64.0,45.0,244.0,C,61.0,0,17.26267650163207,0.5,1.0,0,0,0,False
std-4723,male,group D,some high school,1.0,0.0,99.0,50.0,85.0,78.0,312.0,B,78.0,0,20.607442021431645,0.5,1.0,0,1,0,False
std-4724,male,group D,high school,0.0,0.0,51.0,83.0,40.0,49.0,223.0,C,55.75,0,18.786076404259266,0.0,2.0,0,0,0,False
std-4725,male,group D,some college,1.0,0.0,37.0,84.0,65.0,99.0,285.0,B,71.25,0,26.737925623852473,0.5,3.0,0,1,1,False
std-4726,male,group D,associate's degree,0.0,0.0,30.0,74.0,85.0,27.0,216.0,C,54.0,0,29.81051268708183,0.0,4.0,0,0,0,False
std-4727,male,group D,master's degree,0.0,0.0,30.0,64.0,98.0,72.0,264.0,B,66.0,0,28.047578623950173,0.0,6.0,0,1,1,False
std-4728,male,group E,associate's degree,1.0,1.0,63.0,92.0,56.0,59.0,270.0,B,67.5,0,16.583123951777,1.0,4.0,0,1,0,False
std-4729,male,group C,associate's degree,0.0,0.0,28.0,90.0,66.0,82.0,266.0,B,66.5,0,27.537852736430512,0.0,4.0,0,1,1,False
std-4730,male,group D,some high school,1.0,0.0,70.0,87.0,79.0,68.0,304.0,B,76.0,0,8.755950357709132,0.5,1.0,0,1,0,False
std-4731,male,group D,some college,1.0,1.0,45.0,25.0,91.0,56.0,217.0,C,54.25,0,27.657126869338157,1.0,3.0,0,0,1,False
std-4732,male,group B,associate's degree,1.0,1.0,43.0,37.0,63.0,67.0,210.0,C,52.5,0,14.730919862656235,1.0,4.0,0,0,1,False
std-4733,male,group C,some college,1.0,0.0,80.0,84.0,29.0,52.0,245.0,C,61.25,0,25.785978101803053,0.5,3.0,0,0,0,False
std-4734,male,group C,some high school,1.0,0.0,29.0,17.0,33.0,48.0,127.0,Fail,31.75,1,12.789970028633114,0.5,1.0,0,0,1,True
std-4735,male,group E,high school,1.0,0.0,50.0,51.0,88.0,69.0,258.0,B,64.5,0,17.935068069752806,0.5,2.0,0,1,1,False
std-4736,male,group D,some college,0.0,1.0,50.0,67.0,57.0,45.0,219.0,C,54.75,0,9.535023160258536,0.5,3.0,0,0,0,False
std-4737,male,group C,some college,0.0,0.0,83.0,41.0,65.0,71.0,260.0,B,65.0,0,17.663521732655695,0.0,3.0,0,1,1,False
std-4738,male,group C,associate's degree,1.0,0.0,37.0,61.0,43.0,89.0,230.0,C,57.5,0,23.345235059857504,0.5,4.0,0,0,1,False
std-4739,male,group A,associate's degree,1.0,1.0,52.0,53.0,97.0,79.0,281.0,B,70.25,0,21.777281740382566,1.0,4.0,0,1,1,False
std-4740,male,group B,some college,1.0,1.0,36.0,74.0,54.0,32.0,196.0,D,49.0,1,19.2180470738661,1.0,3.0,0,0,0,False
std-4741,male,group B,some college,1.0,0.0,50.0,59.0,33.0,69.0,211.0,C,52.75,0,15.283433296656002,0.5,3.0,0,0,1,False
std-4742,male,group B,associate's degree,0.0,1.0,69.0,55.0,59.0,71.0,254.0,B,63.5,0,7.724420150837645,0.5,4.0,0,1,1,False
std-4743,male,group C,master's degree,1.0,0.0,29.0,67.0,55.0,31.0,182.0,D,45.5,1,18.57417562100671,0.5,6.0,0,0,0,False
std-4744,male,group A,bachelor's degree,0.0,1.0,57.0,67.0,94.0,100.0,318.0,B,79.5,0,20.760539492026695,0.5,5.0,0,1,1,False
std-4745,male,group C,some high school,1.0,0.0,68.0,75.0,82.0,53.0,278.0,B,69.5,0,12.396235987858034,0.5,1.0,0,1,0,False
std-4746,male,group C,master's degree,0.0,1.0,35.0,82.0,51.0,68.0,236.0,C,59.0,0,20.412414523193153,0.5,6.0,0,0,1,False
std-4747,male,group E,some high school,1.0,0.0,84.0,97.0,64.0,100.0,345.0,A,86.25,0,16.3783393541592,0.5,1.0,0,1,1,False
std-4748,male,group C,some high school,0.0,0.0,52.0,37.0,100.0,69.0,258.0,B,64.5,0,27.03701166919155,0.0,1.0,0,1,1,False
std-4749,male,group C,high school,1.0,0.0,14.0,85.0,72.0,40.0,211.0,C,52.75,0,32.01431971269523,0.5,2.0,0,0,0,False
std-4750,male,group C,high school,0.0,1.0,94.0,70.0,61.0,56.0,281.0,B,70.25,0,16.859715300087366,0.5,2.0,0,1,0,False
std-4751,male,group B,some high school,0.0,1.0,32.0,63.0,68.0,44.0,207.0,C,51.75,0,16.740669042783207,0.5,1.0,0,0,0,False
std-4752,male,group C,high school,0.0,1.0,53.0,90.0,64.0,60.0,267.0,B,66.75,0,16.152915113584505,0.5,2.0,0,1,0,False
std-4753,male,group A,high school,1.0,1.0,47.0,100.0,57.0,89.0,293.0,B,73.25,0,25.276800957927144,1.0,2.0,0,1,1,False
std-4754,male,group C,associate's degree,1.0,0.0,62.0,91.0,76.0,69.0,298.0,B,74.5,0,12.396235987858034,0.5,4.0,0,1,0,False
std-4755,male,group B,bachelor's degree,1.0,0.0,43.0,41.0,83.0,40.0,207.0,C,51.75,0,20.870633275809656,0.5,5.0,0,0,0,False
std-4756,male,group D,some college,0.0,0.0,29.0,56.0,62.0,36.0,183.0,D,45.75,1,15.75595125658873,0.0,3.0,0,0,0,False
std-4757,male,group D,high school,1.0,0.0,60.0,55.0,67.0,14.0,196.0,D,49.0,1,23.84673283002656,0.5,2.0,0,0,0,False
std-4758,male,group E,high school,1.0,0.0,34.0,81.0,35.0,62.0,212.0,C,53.0,0,22.73030282830976,0.5,2.0,0,0,1,False
std-4759,male,group D,some high school,0.0,1.0,41.0,37.0,32.0,67.0,177.0,D,44.25,1,15.607156478145958,0.5,1.0,0,0,1,False
std-4760,male,group C,high school,1.0,1.0,70.0,47.0,40.0,59.0,216.0,C,54.0,0,13.241349377360804,1.0,2.0,0,0,1,False
std-4761,male,group B,bachelor's degree,0.0,0.0,57.0,17.0,67.0,92.0,233.0,C,58.25,0,31.191612120354836,0.0,5.0,0,0,1,False
std-4762,male,group E,some college,1.0,1.0,49.0,90.0,84.0,29.0,252.0,B,63.0,0,28.994252303976847,1.0,3.0,0,1,0,False
std-4763,male,group E,some college,0.0,0.0,45.0,95.0,66.0,89.0,295.0,B,73.75,0,22.881943390659224,0.0,3.0,0,1,1,False
std-4764,male,group D,bachelor's degree,1.0,1.0,47.0,51.0,87.0,82.0,267.0,B,66.75,0,20.66196183005541,1.0,5.0,0,1,1,False
std-4765,male,group B,associate's degree,0.0,0.0,15.0,67.0,51.0,61.0,194.0,D,48.5,1,23.288051299611425,0.0,4.0,0,0,1,False
std-4766,male,group E,high school,1.0,1.0,59.0,57.0,59.0,73.0,248.0,C,62.0,0,7.393691004272944,1.0,2.0,0,0,1,False
std-4767,male,group D,some college,1.0,0.0,87.0,94.0,70.0,52.0,303.0,B,75.75,0,18.76832437912346,0.5,3.0,0,1,0,False
std-4768,male,group B,bachelor's degree,0.0,0.0,58.0,77.0,74.0,92.0,301.0,B,75.25,0,13.937359864766353,0.0,5.0,0,1,1,False
std-4769,male,group D,associate's degree,0.0,0.0,54.0,91.0,75.0,55.0,275.0,B,68.75,0,17.708284313657643,0.0,4.0,0,1,0,False
std-4770,male,group D,associate's degree,1.0,0.0,22.0,40.0,54.0,65.0,181.0,D,45.25,1,18.57193222760267,0.5,4.0,0,0,1,False
std-4771,male,group D,high school,0.0,1.0,48.0,72.0,100.0,58.0,278.0,B,69.5,0,22.5905584998099,0.5,2.0,0,1,0,False
std-4772,male,group D,associate's degree,0.0,0.0,64.0,99.0,83.0,100.0,346.0,A,86.5,0,16.901676445449624,0.0,4.0,0,1,1,False
std-4773,male,group D,some college,0.0,1.0,38.0,69.0,61.0,83.0,251.0,B,62.75,0,18.83923211457056,0.5,3.0,0,1,1,False
std-4774,male,group A,high school,1.0,0.0,24.0,58.0,55.0,55.0,192.0,D,48.0,1,16.06237840420901,0.5,2.0,0,0,1,False
std-4775,male,group D,bachelor's degree,1.0,0.0,31.0,67.0,39.0,68.0,205.0,C,51.25,0,19.05037182489273,0.5,5.0,0,0,1,False
std-4776,male,group D,some high school,1.0,1.0,49.0,83.0,39.0,40.0,211.0,C,52.75,0,20.66196183005541,1.0,1.0,0,0,0,False
std-4777,male,group B,associate's degree,1.0,1.0,61.0,98.0,99.0,29.0,287.0,B,71.75,0,33.53977737950368,1.0,4.0,0,1,0,False
std-4778,male,group B,associate's degree,1.0,0.0,87.0,88.0,45.0,95.0,315.0,B,78.75,0,22.779742462694056,0.5,4.0,0,1,1,False
std-4779,male,group C,associate's degree,1.0,1.0,61.0,100.0,77.0,92.0,330.0,A,82.5,0,17.21433511156714,1.0,4.0,0,1,1,False
std-4780,male,group B,bachelor's degree,0.0,1.0,45.0,88.0,46.0,44.0,223.0,C,55.75,0,21.51549828999242,0.5,5.0,0,0,0,False
std-4781,male,group D,bachelor's degree,1.0,0.0,67.0,42.0,78.0,76.0,263.0,B,65.75,0,16.54035469188413,0.5,5.0,0,1,1,False
std-4782,male,group C,bachelor's degree,1.0,0.0,37.0,83.0,100.0,59.0,279.0,B,69.75,0,27.56053942384534,0.5,5.0,0,1,0,False
std-4783,male,group D,some college,1.0,0.0,50.0,64.0,90.0,32.0,236.0,C,59.0,0,24.467665738003422,0.5,3.0,0,0,0,False
std-4784,male,group C,associate's degree,0.0,0.0,48.0,22.0,72.0,60.0,202.0,C,50.5,0,21.37755832643195,0.0,4.0,0,0,1,False
std-4785,male,group C,master's degree,0.0,1.0,42.0,55.0,72.0,56.0,225.0,C,56.25,0,12.284814474246922,0.5,6.0,0,0,0,False
std-4786,male,group C,some college,1.0,1.0,50.0,83.0,65.0,34.0,232.0,C,58.0,0,20.92844953645635,1.0,3.0,0,0,0,False
std-4787,male,group E,high school,0.0,1.0,27.0,49.0,73.0,87.0,236.0,C,59.0,0,26.482698754721607,0.5,2.0,0,0,1,False
std-4788,male,group B,associate's degree,0.0,0.0,43.0,61.0,99.0,41.0,244.0,C,61.0,0,26.8824602048746,0.0,4.0,0,0,0,False
std-4789,male,group C,associate's degree,1.0,0.0,26.0,89.0,47.0,59.0,221.0,C,55.25,0,26.31064423384574,0.5,4.0,0,0,1,False
std-4790,male,group A,high school,0.0,0.0,18.0,80.0,68.0,45.0,211.0,C,52.75,0,27.34197018017051,0.0,2.0,0,0,0,False
std-4791,male,group B,high school,0.0,0.0,74.0,52.0,61.0,89.0,276.0,B,69.0,0,16.10382977224155,0.0,2.0,0,1,1,False
std-4792,male,group C,bachelor's degree,1.0,0.0,48.0,71.0,100.0,51.0,270.0,B,67.5,0,23.951339558919592,0.5,5.0,0,1,0,False
std-4793,male,group C,associate's degree,0.0,1.0,37.0,89.0,70.0,54.0,250.0,B,62.5,0,22.218610817660647,0.5,4.0,0,1,0,False
std-4794,male,group D,some college,1.0,0.0,26.0,93.0,56.0,38.0,213.0,C,53.25,0,29.227555491350966,0.5,3.0,0,0,0,False
std-4795,male,group B,master's degree,0.0,1.0,83.0,52.0,68.0,64.0,267.0,B,66.75,0,12.789970028633114,0.5,6.0,0,1,0,False
std-4796,male,group D,bachelor's degree,1.0,0.0,13.0,94.0,54.0,53.0,214.0,C,53.5,0,33.070631482732026,0.5,5.0,0,0,0,False
std-4797,male,group C,associate's degree,1.0,0.0,60.0,82.0,54.0,83.0,279.0,B,69.75,0,14.930394055974098,0.5,4.0,0,1,1,False
std-4798,male,group C,associate's degree,0.0,0.0,43.0,84.0,83.0,89.0,299.0,B,74.75,0,21.328775554791388,0.0,4.0,0,1,1,False
std-4799,male,group D,some high school,1.0,0.0,22.0,72.0,93.0,59.0,246.0,C,61.5,0,29.82728057779768,0.5,1.0,0,0,0,False
std-4800,male,group D,associate's degree,0.0,0.0,38.0,82.0,93.0,86.0,299.0,B,74.75,0,24.91819950691997,0.0,4.0,0,1,1,False
std-4801,male,group C,some high school,1.0,0.0,51.0,100.0,70.0,74.0,295.0,B,73.75,0,20.17217555611359,0.5,1.0,0,1,1,False
std-4802,male,group E,associate's degree,1.0,0.0,20.0,100.0,38.0,65.0,223.0,C,55.75,0,34.81738071710737,0.5,4.0,0,0,1,False
std-4803,male,group C,associate's degree,0.0,1.0,15.0,71.0,86.0,27.0,199.0,D,49.75,1,34.111337313763194,0.5,4.0,0,0,0,False
std-4804,male,group C,bachelor's degree,1.0,1.0,69.0,97.0,64.0,40.0,270.0,B,67.5,0,23.388031127053,1.0,5.0,0,1,0,False
std-4805,male,group C,associate's degree,0.0,0.0,75.0,50.0,53.0,100.0,278.0,B,69.5,0,23.18764038591824,0.0,4.0,0,1,1,False
std-4806,male,group D,some high school,1.0,1.0,98.0,71.0,63.0,75.0,307.0,B,76.75,0,15.01943185787443,1.0,1.0,0,1,0,False
std-4807,male,group C,master's degree,1.0,1.0,77.0,100.0,80.0,84.0,341.0,A,85.25,0,10.242883708539635,1.0,6.0,0,1,0,False
std-4808,male,group B,some high school,1.0,0.0,64.0,100.0,100.0,71.0,335.0,A,83.75,0,18.980252896102307,0.5,1.0,0,1,0,False
std-4809,male,group B,bachelor's degree,0.0,0.0,68.0,89.0,58.0,79.0,294.0,B,73.5,0,13.428824718989125,0.0,5.0,0,1,1,False
std-4810,male,group D,associate's degree,1.0,0.0,17.0,35.0,55.0,58.0,165.0,D,41.25,1,19.120233610846217,0.5,4.0,0,0,1,False
std-4811,male,group C,some college,0.0,0.0,20.0,61.0,50.0,79.0,210.0,C,52.5,0,24.745369937289954,0.0,3.0,0,0,1,False
std-4812,male,group C,bachelor's degree,1.0,0.0,60.0,75.0,78.0,78.0,291.0,B,72.75,0,8.616843969807043,0.5,5.0,0,1,1,False
std-4813,male,group E,master's degree,0.0,0.0,19.0,45.0,58.0,47.0,169.0,D,42.25,1,16.520189667999176,0.0,6.0,0,0,1,False
std-4814,male,group C,some high school,0.0,0.0,32.0,74.0,43.0,50.0,199.0,D,49.75,1,17.783419243778738,0.0,1.0,0,0,1,False
std-4815,male,group C,some college,1.0,0.0,38.0,62.0,68.0,9.0,177.0,D,44.25,1,26.837473800639284,0.5,3.0,0,0,0,True
std-4816,male,group D,bachelor's degree,1.0,1.0,53.0,89.0,44.0,76.0,262.0,B,65.5,0,20.663978319771825,1.0,5.0,0,1,1,False
std-4817,male,group E,high school,1.0,0.0,10.0,63.0,38.0,26.0,137.0,Fail,34.25,1,22.336442569636436,0.5,2.0,0,0,0,True
std-4818,male,group B,some college,1.0,0.0,21.0,67.0,64.0,52.0,204.0,C,51.0,0,21.02379604162864,0.5,3.0,0,0,1,False
std-4819,male,group D,high school,1.0,0.0,34.0,77.0,72.0,55.0,238.0,C,59.5,0,19.433647796197878,0.5,2.0,0,0,0,False
std-4820,male,group C,some high school,1.0,1.0,85.0,63.0,63.0,76.0,287.0,B,71.75,0,10.750968948580091,1.0,1.0,0,1,1,False
std-4821,male,group C,some college,1.0,0.0,38.0,62.0,77.0,64.0,241.0,C,60.25,0,16.25576820700886,0.5,3.0,0,0,1,False
std-4822,male,group B,some college,1.0,1.0,35.0,77.0,58.0,80.0,250.0,B,62.5,0,20.760539492026695,1.0,3.0,0,1,1,False
std-4823,male,group D,some high school,0.0,1.0,62.0,91.0,13.0,44.0,210.0,C,52.5,0,32.68536879604287,0.5,1.0,0,0,0,True
std-4824,male,group C,some college,1.0,1.0,45.0,72.0,82.0,43.0,242.0,C,60.5,0,19.5021366350801,1.0,3.0,0,0,0,False
std-4825,male,group E,associate's degree,1.0,1.0,54.0,89.0,43.0,63.0,249.0,C,62.25,0,19.619293225462194,1.0,4.0,0,0,1,False
std-4826,male,group D,associate's degree,1.0,1.0,57.0,77.0,56.0,78.0,268.0,B,67.0,0,12.138094304022083,1.0,4.0,0,1,1,False
std-4827,male,group E,associate's degree,1.0,0.0,76.0,74.0,62.0,75.0,287.0,B,71.75,0,6.551081335677848,0.5,4.0,0,1,1,False
std-4828,male,group E,high school,0.0,0.0,45.0,57.0,83.0,57.0,242.0,C,60.5,0,16.0312195418814,0.0,2.0,0,0,0,False
std-4829,male,group B,high school,0.0,0.0,82.0,56.0,77.0,74.0,289.0,B,72.25,0,11.324751652906125,0.0,2.0,0,1,1,False
std-4830,male,group A,high school,0.0,0.0,74.0,23.0,41.0,51.0,189.0,D,47.25,1,21.266170318136737,0.0,2.0,0,0,1,False
std-4831,male,group C,associate's degree,0.0,0.0,19.0,93.0,60.0,40.0,212.0,C,53.0,0,31.485446373417247,0.0,4.0,0,0,0,False
std-4832,male,group C,high school,1.0,0.0,24.0,77.0,65.0,100.0,266.0,B,66.5,0,31.83813227352802,0.5,2.0,0,1,1,False
std-4833,male,group D,high school,0.0,0.0,71.0,67.0,100.0,81.0,319.0,B,79.75,0,14.72809107341025,0.0,2.0,0,1,1,False
std-4834,male,group C,some high school,1.0,1.0,94.0,100.0,56.0,88.0,338.0,A,84.5,0,19.621416870348583,1.0,1.0,0,1,1,False
std-4835,male,group C,associate's degree,0.0,1.0,63.0,95.0,71.0,60.0,289.0,B,72.25,0,15.861378670636842,0.5,4.0,0,1,0,False
std-4836,male,group E,some high school,1.0,0.0,26.0,64.0,69.0,73.0,232.0,C,58.0,0,21.64871050817269,0.5,1.0,0,0,1,False
std-4837,male,group B,some college,1.0,0.0,0.0,84.0,100.0,49.0,233.0,C,58.25,0,44.289765559701635,0.5,3.0,0,0,0,False
std-4838,male,group B,associate's degree,0.0,0.0,11.0,58.0,54.0,76.0,199.0,D,49.75,1,27.548442182211804,0.0,4.0,0,0,1,False
std-4839,male,group B,some college,0.0,0.0,47.0,41.0,65.0,78.0,231.0,C,57.75,0,16.91892431568863,0.0,3.0,0,0,1,False
std-4840,male,group C,some college,0.0,0.0,49.0,80.0,79.0,46.0,254.0,B,63.5,0,18.520259177452136,0.0,3.0,0,1,0,False
std-4841,male,group E,high school,1.0,0.0,57.0,63.0,45.0,99.0,264.0,B,66.0,0,23.2379000772445,0.5,2.0,0,1,1,False
std-4842,male,group D,associate's degree,0.0,0.0,25.0,76.0,68.0,47.0,216.0,C,54.0,0,22.87647991569799,0.0,4.0,0,0,0,False
std-4843,male,group D,some high school,1.0,0.0,89.0,59.0,52.0,58.0,258.0,B,64.5,0,16.623276853055575,0.5,1.0,0,1,0,False
std-4844,male,group D,high school,0.0,0.0,53.0,42.0,42.0,67.0,204.0,C,51.0,0,11.86029791643813,0.0,2.0,0,0,1,False
std-4845,male,group E,associate's degree,0.0,1.0,48.0,87.0,73.0,86.0,294.0,B,73.5,0,18.15672510852843,0.5,4.0,0,1,1,False
std-4846,male,group E,some high school,1.0,0.0,25.0,47.0,61.0,83.0,216.0,C,54.0,0,24.358434541926815,0.5,1.0,0,0,1,False
std-4847,male,group D,some college,1.0,0.0,84.0,60.0,75.0,57.0,276.0,B,69.0,0,12.727922061357855,0.5,3.0,0,1,0,False
std-4848,male,group A,some college,1.0,0.0,52.0,55.0,27.0,63.0,197.0,D,49.25,1,15.542951242712348,0.5,3.0,0,0,1,False
std-4849,male,group D,associate's degree,1.0,1.0,30.0,68.0,85.0,35.0,218.0,C,54.5,0,26.413380447543375,1.0,4.0,0,0,0,False
std-4850,male,group B,bachelor's degree,1.0,0.0,32.0,72.0,47.0,38.0,189.0,D,47.25,1,17.613914953808536,0.5,5.0,0,0,0,False
std-4851,male,group D,high school,1.0,1.0,79.0,72.0,85.0,54.0,290.0,B,72.5,0,13.428824718989125,1.0,2.0,0,1,0,False
std-4852,male,group B,master's degree,0.0,1.0,85.0,97.0,83.0,66.0,331.0,A,82.75,0,12.76388133236386,0.5,6.0,0,1,0,False
std-4853,male,group B,bachelor's degree,1.0,0.0,58.0,93.0,51.0,62.0,264.0,B,66.0,0,18.565200420859092,0.5,5.0,0,1,0,False
std-4854,male,group C,some high school,0.0,0.0,88.0,74.0,70.0,79.0,311.0,B,77.75,0,7.762087348130012,0.0,1.0,0,1,1,False
std-4855,male,group C,some college,0.0,0.0,35.0,55.0,42.0,62.0,194.0,D,48.5,1,12.233832869001711,0.0,3.0,0,0,1,False
std-4856,male,group C,some college,0.0,0.0,48.0,100.0,67.0,73.0,288.0,B,72.0,0,21.494185260204677,0.0,3.0,0,1,1,False
std-4857,male,group B,some college,1.0,1.0,23.0,100.0,81.0,89.0,293.0,B,73.25,0,34.39355559791204,1.0,3.0,0,1,1,False
std-4858,male,group C,master's degree,1.0,1.0,23.0,39.0,51.0,42.0,155.0,D,38.75,1,11.672617529928752,1.0,6.0,0,0,1,False
std-4859,male,group C,high school,0.0,1.0,15.0,73.0,69.0,27.0,184.0,D,46.0,1,29.32575659723036,0.5,2.0,0,0,0,False
std-4860,male,group E,some high school,1.0,1.0,58.0,38.0,62.0,45.0,203.0,C,50.75,0,11.176612486199325,1.0,1.0,0,0,0,False
std-4861,male,group C,some high school,1.0,0.0,33.0,75.0,100.0,54.0,262.0,B,65.5,0,28.687976575562104,0.5,1.0,0,1,0,False
std-4862,male,group E,associate's degree,1.0,1.0,76.0,44.0,76.0,58.0,254.0,B,63.5,0,15.524174696260024,1.0,4.0,0,1,0,False
std-4863,male,group C,high school,0.0,0.0,66.0,99.0,80.0,75.0,320.0,A,80.0,0,13.92838827718412,0.0,2.0,0,1,0,False
std-4864,male,group E,some high school,1.0,0.0,94.0,85.0,91.0,62.0,332.0,A,83.0,0,14.491376746189438,0.5,1.0,0,1,0,False
std-4865,male,group C,some college,1.0,0.0,46.0,91.0,49.0,100.0,286.0,B,71.5,0,27.982137159266443,0.5,3.0,0,1,1,False
std-4866,male,group C,some college,0.0,0.0,69.0,80.0,70.0,96.0,315.0,B,78.75,0,12.526638282742368,0.0,3.0,0,1,1,False
std-4867,male,group C,associate's degree,0.0,0.0,15.0,79.0,54.0,100.0,248.0,C,62.0,0,36.542213032783515,0.0,4.0,0,0,1,False
std-4868,male,group C,some high school,1.0,1.0,30.0,94.0,79.0,24.0,227.0,C,56.75,0,34.97975605022616,1.0,1.0,0,0,0,False
std-4869,male,group C,some high school,1.0,1.0,76.0,100.0,73.0,50.0,299.0,B,74.75,0,20.45116133621756,1.0,1.0,0,1,0,False
std-4870,male,group C,some college,1.0,0.0,57.0,96.0,73.0,58.0,284.0,B,71.0,0,18.20256392196806,0.5,3.0,0,1,0,False
std-4871,male,group E,some high school,1.0,1.0,99.0,77.0,72.0,90.0,338.0,A,84.5,0,12.288205727444508,1.0,1.0,0,1,1,False
std-4872,male,group C,associate's degree,1.0,1.0,61.0,17.0,81.0,47.0,206.0,C,51.5,0,26.901053263146903,1.0,4.0,0,0,0,False
std-4873,male,group C,some college,0.0,0.0,83.0,20.0,80.0,92.0,275.0,B,68.75,0,32.89756829919196,0.0,3.0,0,1,1,False
std-4874,male,group B,high school,1.0,0.0,60.0,49.0,46.0,39.0,194.0,D,48.5,1,8.736894948054104,0.5,2.0,0,0,0,False
std-4875,male,group D,some college,1.0,1.0,44.0,65.0,58.0,42.0,209.0,C,52.25,0,11.086778913041726,1.0,3.0,0,0,0,False
std-4876,male,group C,some high school,1.0,0.0,69.0,78.0,35.0,61.0,243.0,C,60.75,0,18.518009252256753,0.5,1.0,0,0,1,False
std-4877,male,group C,master's degree,1.0,1.0,48.0,65.0,98.0,52.0,263.0,B,65.75,0,22.691775308835282,1.0,6.0,0,1,0,False
std-4878,male,group E,master's degree,0.0,1.0,47.0,60.0,73.0,85.0,265.0,B,66.25,0,16.39867880857073,0.5,6.0,0,1,1,False
std-4879,male,group B,some college,0.0,1.0,45.0,89.0,53.0,48.0,235.0,C,58.75,0,20.434855843223687,0.5,3.0,0,0,0,False
std-4880,male,group C,bachelor's degree,1.0,0.0,74.0,83.0,78.0,61.0,296.0,B,74.0,0,9.41629792788369,0.5,5.0,0,1,0,False
std-4881,male,group D,some college,1.0,1.0,94.0,66.0,98.0,63.0,321.0,A,80.25,0,18.300728582946274,1.0,3.0,0,1,0,False
std-4882,male,group C,bachelor's degree,0.0,0.0,56.0,100.0,83.0,44.0,283.0,B,70.75,0,25.42144763777232,0.0,5.0,0,1,0,False
std-4883,male,group D,master's degree,0.0,0.0,33.0,57.0,87.0,51.0,228.0,C,57.0,0,22.44994432064365,0.0,6.0,0,0,0,False
std-4884,male,group B,some high school,0.0,0.0,49.0,60.0,57.0,94.0,260.0,B,65.0,0,19.882991056008986,0.0,1.0,0,1,1,False
std-4885,male,group C,high school,0.0,0.0,12.0,80.0,96.0,65.0,253.0,B,63.25,0,36.436016979540085,0.0,2.0,0,1,1,False
std-4886,male,group C,high school,1.0,1.0,34.0,88.0,82.0,51.0,255.0,B,63.75,0,25.617376914898998,1.0,2.0,0,1,0,False
std-4887,male,group D,high school,1.0,0.0,74.0,56.0,81.0,65.0,276.0,B,69.0,0,10.862780491200215,0.5,2.0,0,1,0,False
std-4888,male,group C,bachelor's degree,1.0,0.0,31.0,65.0,63.0,56.0,215.0,C,53.75,0,15.649813630413195,0.5,5.0,0,0,1,False
std-4889,male,group C,high school,1.0,0.0,50.0,75.0,63.0,66.0,254.0,B,63.5,0,10.344080432788601,0.5,2.0,0,1,1,False
std-4890,male,group C,associate's degree,1.0,0.0,43.0,69.0,29.0,74.0,215.0,C,53.75,0,21.37560915311343,0.5,4.0,0,0,1,False
std-4891,male,group C,some high school,0.0,0.0,96.0,64.0,53.0,81.0,294.0,B,73.5,0,18.91207727000571,0.0,1.0,0,1,1,False
std-4892,male,group D,high school,0.0,0.0,26.0,74.0,91.0,44.0,235.0,C,58.75,0,29.227555491350966,0.0,2.0,0,0,0,False
std-4893,male,group B,some college,1.0,1.0,61.0,61.0,70.0,57.0,249.0,C,62.25,0,5.5,1.0,3.0,0,0,0,False
std-4894,male,group B,some high school,1.0,0.0,16.0,100.0,72.0,89.0,277.0,B,69.25,0,37.3217988133834,0.5,1.0,0,1,1,False
std-4895,male,group B,associate's degree,0.0,0.0,66.0,79.0,78.0,99.0,322.0,A,80.5,0,13.674794331177344,0.0,4.0,0,1,1,False
